"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4669","Verify links in the Legal section (example #3)","","Tue Oct 21 03:20:00 UTC 2025","passed","Tue Oct 21 03:20:04 UTC 2025","","Verify that all links in the “Legal” section of the footer work correctly","",""
"","5143","Verify links in the Company section (example #5)","","Tue Oct 21 03:19:33 UTC 2025","passed","Tue Oct 21 03:19:38 UTC 2025","","Verify that all links in the “Company” section of the footer work correctly","",""
"","4596","Verify links in the Company section (example #3)","","Tue Oct 21 03:19:23 UTC 2025","passed","Tue Oct 21 03:19:28 UTC 2025","","Verify that all links in the “Company” section of the footer work correctly","",""
"","6708","Verify footer ""Compare"" links redirect correctly (example #4)","","Tue Oct 21 03:21:05 UTC 2025","passed","Tue Oct 21 03:21:12 UTC 2025","","Verify that all links in the “Compare” section of the footer work correctly","",""
"","1054","Verify footer social media links (example #3)","","Tue Oct 21 03:19:09 UTC 2025","passed","Tue Oct 21 03:19:10 UTC 2025","","Verify that social media links in the footer redirect to the correct pages","",""
"","7188","Verify footer ""Compare"" links redirect correctly (example #1)","","Tue Oct 21 03:20:44 UTC 2025","passed","Tue Oct 21 03:20:51 UTC 2025","","Verify that all links in the “Compare” section of the footer work correctly","",""
"","4371","Verify links in the Legal section (example #8)","","Tue Oct 21 03:20:28 UTC 2025","passed","Tue Oct 21 03:20:33 UTC 2025","","Verify that all links in the “Legal” section of the footer work correctly","",""
"","1974","Verify footer social media links (example #1)","","Tue Oct 21 03:19:04 UTC 2025","passed","Tue Oct 21 03:19:06 UTC 2025","","Verify that social media links in the footer redirect to the correct pages","",""
"","6541","Verify footer ""Compare"" links redirect correctly (example #9)","","Tue Oct 21 03:21:39 UTC 2025","passed","Tue Oct 21 03:21:45 UTC 2025","","Verify that all links in the “Compare” section of the footer work correctly","",""
"","6151","Verify footer ""Compare"" links redirect correctly (example #7)","","Tue Oct 21 03:21:26 UTC 2025","passed","Tue Oct 21 03:21:32 UTC 2025","","Verify that all links in the “Compare” section of the footer work correctly","",""
